Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,TotalScreenTime,ConsumptionScore,AirTravelScore,TravelIntensity,WasteSizeScore,WasteScore,Glass,Plastic,Metal,Paper,Oven,Microwave,Grill,Airfryer,Stove
underweight,female,omnivore,less frequently,electricity,public,,never,0.8353413654618475,frequently,0.10281028102810282,small,2,13,0.88,4,Yes,1561,17,1.7153413654618475,0.6666666666666666,0.7694769476947695,1,2,1,0,1,0,1,1,1,1,0
obese,female,vegan,more frequently,wood,public,,sometimes,0.5582329317269076,frequently,0.15271527152715272,medium,4,23,0.68,10,Yes,2202,33,1.2382329317269076,0.6666666666666666,0.8193819381938193,2,8,1,0,1,0,0,1,1,1,0
underweight,female,vegetarian,daily,coal,walk/bicycle,,sometimes,0.8514056224899599,frequently,0.0088008800880088,large,5,24,0.16,15,Sometimes,2024,39,1.01140562248996,0.6666666666666666,0.6754675467546755,3,15,0,0,0,0,0,1,1,1,0
normal,female,pescatarian,daily,natural gas,walk/bicycle,,never,0.42971887550200805,frequently,0.007300730073007301,medium,4,1,0.84,22,No,1659,23,1.269718875502008,0.6666666666666666,0.673967396739674,2,8,1,0,1,1,1,1,1,1,1
normal,female,pescatarian,daily,wood,private,lpg,often,0.9236947791164659,very frequently,0.8320832083208322,small,5,9,0.0,4,Sometimes,3911,13,0.9236947791164659,1.0,1.832083208320832,1,5,0,0,1,1,1,0,1,1,1
normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,0.285140562248996,never,0.007200720072007201,medium,6,11,0.08,10,Yes,1204,21,0.365140562248996,0.0,0.007200720072007201,2,12,1,0,1,0,0,1,1,1,1
underweight,female,vegan,less frequently,coal,walk/bicycle,,often,0.4979919678714859,very frequently,0.0009000900090009002,large,2,1,0.8,15,Yes,2431,16,1.297991967871486,1.0,1.0009000900090008,3,6,1,1,0,1,0,1,0,0,1
obese,male,vegetarian,daily,electricity,walk/bicycle,,sometimes,0.49397590361445787,frequently,0.006000600060006001,medium,2,16,0.28,20,Sometimes,1640,36,0.7739759036144579,0.6666666666666666,0.6726672667266727,2,4,1,1,0,0,0,0,0,0,0
underweight,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,0.5983935742971888,frequently,0.0013001300130013002,medium,5,17,0.12,15,No,1648,32,0.7183935742971888,0.6666666666666666,0.667966796679668,2,10,1,0,1,1,1,1,1,1,1
underweight,male,omnivore,less frequently,wood,walk/bicycle,,never,0.17670682730923695,rarely,0.0032003200320032004,small,6,15,0.1,17,Sometimes,1002,32,0.27670682730923696,0.3333333333333333,0.3365336533653365,1,6,1,0,1,0,0,1,1,1,0
underweight,female,pescatarian,less frequently,coal,walk/bicycle,,never,0.05622489959839358,frequently,0.0049004900490049,small,1,19,0.9400000000000001,16,Yes,1771,35,0.9962248995983937,0.6666666666666666,0.6715671567156716,1,1,1,1,0,0,1,1,1,1,1
overweight,female,omnivore,twice a day,electricity,public,,never,0.2008032128514056,very frequently,0.1351135113511351,extra large,1,20,0.48,5,Yes,2028,25,0.6808032128514055,1.0,1.135113511351135,4,4,1,1,0,1,0,1,1,1,1
normal,female,vegetarian,more frequently,coal,public,,often,0.7630522088353413,very frequently,0.17261726172617262,medium,2,15,0.38,5,No,2540,20,1.1430522088353414,1.0,1.1726172617261725,2,4,1,0,1,0,1,0,0,0,1
underweight,female,omnivore,daily,electricity,public,,sometimes,0.7831325301204819,never,0.10211021102110211,medium,7,14,0.96,10,No,1386,24,1.7431325301204819,0.0,0.10211021102110211,2,14,1,0,1,1,1,0,1,1,1
normal,female,pescatarian,daily,coal,walk/bicycle,,sometimes,0.8835341365461847,rarely,0.006200620062006201,small,5,22,0.42,11,Sometimes,1679,33,1.3035341365461848,0.3333333333333333,0.33953395339533954,1,5,0,1,0,0,1,1,1,1,1
overweight,male,omnivore,daily,wood,private,electric,often,0.9799196787148593,very frequently,0.948894889488949,small,5,16,0.4,18,Yes,3141,34,1.3799196787148593,1.0,1.9488948894889488,1,5,1,0,0,0,0,0,0,0,0
normal,male,vegetarian,more frequently,wood,public,,never,0.14859437751004015,very frequently,0.10371037103710372,large,4,0,0.22,24,No,2627,24,0.36859437751004015,1.0,1.1037103710371037,3,12,0,1,0,1,1,1,1,1,1
underweight,male,pescatarian,less frequently,wood,private,electric,never,0.6385542168674698,never,0.9555955595559557,large,2,13,0.86,3,Yes,1188,16,1.4985542168674697,0.0,0.9555955595559557,3,6,1,0,1,1,1,1,1,1,0
underweight,male,pescatarian,twice a day,electricity,private,diesel,never,0.29718875502008035,never,0.9031903190319032,extra large,5,1,0.22,5,Yes,3174,6,0.5171887550200803,0.0,0.9031903190319032,4,20,1,1,0,0,0,0,1,1,1
overweight,female,vegetarian,more frequently,natural gas,public,,sometimes,0.9076305220883533,frequently,0.14611461146114613,large,7,19,0.1,12,Sometimes,2327,31,1.0076305220883532,0.6666666666666666,0.8127812781278128,3,21,0,0,1,0,1,1,1,1,1
overweight,female,vegan,daily,wood,walk/bicycle,,never,0.16064257028112447,very frequently,0.0039003900390039005,medium,3,22,0.14,9,Yes,1822,31,0.3006425702811245,1.0,1.003900390039004,2,6,0,1,1,1,1,1,0,0,1
obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,0.34538152610441764,never,0.5033503350335033,medium,6,0,0.86,24,No,2665,24,1.2053815261044176,0.0,0.5033503350335033,2,12,0,1,1,1,1,0,0,0,1
underweight,male,vegan,daily,electricity,public,,sometimes,0.7871485943775101,frequently,0.10651065106510652,extra large,4,22,0.86,7,Yes,2129,29,1.64714859437751,0.6666666666666666,0.7731773177317731,4,16,0,1,1,0,1,1,1,1,1
normal,male,pescatarian,less frequently,wood,public,,often,0.17670682730923695,rarely,0.09270927092709272,medium,5,18,0.2,21,Yes,1425,39,0.376706827309237,0.3333333333333333,0.42604260426042606,2,10,1,0,0,1,1,0,0,0,0
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,0.8152610441767069,frequently,0.22772277227722773,large,1,0,0.22,20,Sometimes,1690,20,1.035261044176707,0.6666666666666666,0.8943894389438943,3,3,1,0,1,1,0,0,0,0,1
obese,female,omnivore,more frequently,natural gas,walk/bicycle,,never,0.6024096385542168,rarely,0.009700970097009702,medium,7,13,0.36,0,Sometimes,1717,13,0.9624096385542168,0.3333333333333333,0.343034303430343,2,14,0,0,1,0,0,1,0,0,1
normal,male,vegan,less frequently,coal,private,lpg,sometimes,0.9277108433734939,frequently,0.7272727272727273,large,2,4,0.76,5,No,4060,9,1.6877108433734938,0.6666666666666666,1.393939393939394,3,6,1,0,0,1,0,1,1,1,0
obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,0.12851405622489961,rarely,0.5260526052605261,extra large,3,14,0.36,17,No,3262,31,0.48851405622489963,0.3333333333333333,0.8593859385938594,4,12,1,1,0,0,1,0,1,1,1
overweight,female,pescatarian,more frequently,coal,public,,often,0.0923694779116466,rarely,0.17501750175017503,extra large,1,9,0.6,12,Yes,1674,21,0.6923694779116466,0.3333333333333333,0.5083508350835083,4,4,1,0,0,1,1,1,1,1,1
obese,male,vegetarian,daily,natural gas,private,hybrid,often,0.7871485943775101,frequently,0.2998299829982998,small,4,0,0.72,3,Sometimes,3135,3,1.50714859437751,0.6666666666666666,0.9664966496649665,1,4,0,0,1,0,1,1,0,0,1
underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,0.19277108433734938,rarely,0.9147914791479148,extra large,5,1,0.98,20,Yes,4465,21,1.1727710843373493,0.3333333333333333,1.248124812481248,4,20,1,1,0,0,0,1,1,1,1
overweight,male,pescatarian,twice a day,electricity,public,,never,0.8273092369477911,rarely,0.19471947194719472,extra large,3,23,0.66,8,Sometimes,1984,31,1.4873092369477912,0.3333333333333333,0.528052805280528,4,12,0,0,0,0,0,0,0,0,1
overweight,female,vegetarian,less frequently,electricity,private,lpg,often,0.9518072289156626,very frequently,0.48854885488548855,large,1,21,0.42,3,Yes,3246,24,1.3718072289156626,1.0,1.4885488548854886,3,3,0,1,1,0,0,1,1,1,1
obese,female,omnivore,daily,electricity,walk/bicycle,,never,0.05220883534136547,frequently,0.002000200020002,large,4,1,0.12,14,No,1351,15,0.17220883534136547,0.6666666666666666,0.6686668666866686,3,12,1,1,1,1,1,1,1,1,1
obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,0.4337349397590361,never,0.0023002300230023005,extra large,1,24,0.66,2,No,1929,26,1.0937349397590361,0.0,0.0023002300230023005,4,4,1,0,0,0,0,0,0,0,1
obese,male,omnivore,twice a day,electricity,walk/bicycle,,often,0.7670682730923695,frequently,0.0034003400340034003,large,5,24,0.3,10,Yes,2719,34,1.0670682730923695,0.6666666666666666,0.67006700670067,3,15,0,0,0,0,1,1,1,1,0
obese,female,vegetarian,twice a day,coal,walk/bicycle,,never,0.5060240963855421,frequently,0.005900590059005901,large,1,11,0.8200000000000001,19,Yes,2336,30,1.326024096385542,0.6666666666666666,0.6725672567256725,3,3,0,0,0,1,1,0,0,0,1
normal,female,vegetarian,less frequently,wood,public,,often,0.5582329317269076,never,0.06820682068206821,small,6,0,0.7000000000000001,3,Sometimes,1270,3,1.2582329317269076,0.0,0.06820682068206821,1,6,1,0,0,0,0,1,1,1,1
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,0.6586345381526104,never,0.001000100010001,large,6,20,0.24,24,Yes,1803,44,0.8986345381526104,0.0,0.001000100010001,3,18,1,0,0,0,0,1,0,0,1
normal,female,vegan,daily,electricity,walk/bicycle,,sometimes,0.859437751004016,very frequently,0.001000100010001,medium,1,7,0.44,17,Sometimes,1816,24,1.299437751004016,1.0,1.001000100010001,2,2,1,0,0,1,1,1,1,1,0
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,0.6546184738955823,never,0.7964796479647965,small,1,16,0.86,9,No,4638,25,1.5146184738955824,0.0,0.7964796479647965,1,1,0,1,0,1,1,0,0,0,1
underweight,female,omnivore,twice a day,coal,private,hybrid,often,0.9277108433734939,rarely,0.36063606360636064,small,3,16,0.16,22,Sometimes,1909,38,1.0877108433734939,0.3333333333333333,0.693969396939694,1,3,0,1,1,0,0,0,0,0,1
normal,male,vegan,less frequently,natural gas,public,,sometimes,0.9236947791164659,frequently,0.05360536053605361,large,2,2,0.6,1,Yes,2021,3,1.523694779116466,0.6666666666666666,0.7202720272027202,3,6,0,1,0,0,1,0,0,0,0
normal,male,omnivore,more frequently,natural gas,public,,never,0.3012048192771084,rarely,0.1564156415641564,large,5,4,0.3,23,No,1896,27,0.6012048192771084,0.3333333333333333,0.4897489748974897,3,15,0,0,1,0,1,1,0,0,0
obese,male,vegan,daily,electricity,walk/bicycle,,never,0.5542168674698795,frequently,0.007800780078007801,small,4,11,0.42,3,No,1770,14,0.9742168674698795,0.6666666666666666,0.6744674467446744,1,4,0,0,0,1,1,0,1,1,0
normal,female,omnivore,daily,wood,walk/bicycle,,often,0.8072289156626505,never,0.0098009800980098,small,1,12,0.9400000000000001,3,No,1323,15,1.7472289156626506,0.0,0.0098009800980098,1,1,0,1,1,1,0,1,0,0,1
normal,female,pescatarian,daily,wood,public,,never,0.9437751004016063,very frequently,0.18201820182018202,small,1,21,0.48,9,Yes,2269,30,1.4237751004016062,1.0,1.1820182018201821,1,1,0,1,0,0,0,0,1,1,0
obese,male,vegan,more frequently,wood,public,,never,0.7389558232931727,never,0.024302430243024302,extra large,4,20,0.72,5,Yes,1918,25,1.4589558232931727,0.0,0.024302430243024302,4,16,1,1,1,0,1,0,1,1,1
overweight,female,vegan,daily,natural gas,public,,sometimes,0.16465863453815263,very frequently,0.15861586158615862,small,7,8,0.86,2,Yes,2477,10,1.0246586345381525,1.0,1.1586158615861586,1,7,0,1,1,1,1,1,0,0,1
normal,female,omnivore,daily,natural gas,walk/bicycle,,never,0.2730923694779116,frequently,0.0011001100110011,large,3,6,0.2,16,No,1444,22,0.4730923694779116,0.6666666666666666,0.6677667766776677,3,9,0,0,0,1,1,0,0,0,1
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,never,0.10040160642570281,never,0.007200720072007201,small,5,15,0.84,16,Sometimes,1254,31,0.9404016064257028,0.0,0.007200720072007201,1,5,1,1,0,1,0,0,1,1,1
overweight,male,vegetarian,more frequently,electricity,public,,never,0.3373493975903614,never,0.11571157115711571,small,5,19,0.7000000000000001,10,No,1411,29,1.0373493975903614,0.0,0.11571157115711571,1,5,1,0,0,0,1,0,1,1,0
underweight,male,pescatarian,daily,wood,public,,often,0.931726907630522,never,0.13801380138013802,extra large,4,7,0.22,8,No,1605,15,1.151726907630522,0.0,0.13801380138013802,4,16,1,1,0,0,0,0,1,1,0
obese,male,vegetarian,less frequently,electricity,private,lpg,often,0.24096385542168672,never,0.5765576557655766,medium,5,7,0.04,18,No,3054,25,0.2809638554216867,0.0,0.5765576557655766,2,10,0,0,0,1,1,0,0,0,1
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,0.610441767068273,very frequently,0.009200920092009202,extra large,6,9,0.32,14,Yes,2902,23,0.930441767068273,1.0,1.0092009200920091,4,24,0,0,0,0,0,0,1,1,0
overweight,male,pescatarian,less frequently,electricity,private,lpg,never,0.02409638554216867,frequently,0.7797779777977798,large,7,22,0.16,15,Yes,4301,37,0.18409638554216867,0.6666666666666666,1.4464446444644463,3,21,1,1,0,0,1,0,0,0,1
normal,female,vegan,twice a day,electricity,walk/bicycle,,often,0.6947791164658634,very frequently,0.005000500050005001,small,3,12,0.7000000000000001,22,Yes,2308,34,1.3947791164658634,1.0,1.005000500050005,1,3,0,1,0,0,1,1,1,1,0
normal,female,vegetarian,more frequently,wood,private,petrol,often,0.610441767068273,frequently,0.762976297629763,medium,1,17,0.74,2,No,4132,19,1.350441767068273,0.6666666666666666,1.4296429642964297,2,2,1,1,1,0,0,0,1,1,0
overweight,male,vegetarian,daily,wood,private,petrol,sometimes,0.2570281124497992,frequently,0.23672367236723674,medium,3,1,0.8200000000000001,23,No,2993,24,1.0770281124497991,0.6666666666666666,0.9033903390339033,2,6,1,0,1,1,1,0,0,0,1
overweight,female,omnivore,daily,wood,private,petrol,often,0.3654618473895582,frequently,0.39603960396039606,medium,1,7,0.42,1,Yes,3098,8,0.7854618473895583,0.6666666666666666,1.0627062706270627,2,2,0,1,0,1,0,0,0,0,0
overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,0.7469879518072289,rarely,0.0042004200420042,extra large,2,19,0.3,10,Yes,1364,29,1.046987951807229,0.3333333333333333,0.33753375337533753,4,8,0,1,1,0,0,0,0,0,0
normal,female,omnivore,daily,coal,private,lpg,sometimes,0.18072289156626506,rarely,0.6455645564556456,large,1,15,0.62,14,Yes,2941,29,0.8007228915662651,0.3333333333333333,0.9788978897889788,3,3,1,1,0,1,0,1,1,1,1
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,never,0.7991967871485943,frequently,0.004100410041004101,large,4,6,0.04,4,Sometimes,1349,10,0.8391967871485944,0.6666666666666666,0.6707670767076708,3,12,0,0,0,1,0,1,0,0,0
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,often,0.6546184738955823,never,0.007100710071007101,medium,1,24,0.34,16,Yes,1038,40,0.9946184738955823,0.0,0.007100710071007101,2,2,1,1,0,0,0,1,0,0,0
obese,male,vegetarian,twice a day,wood,walk/bicycle,,never,0.12449799196787151,never,0.0039003900390039005,medium,7,16,0.62,15,No,1815,31,0.7444979919678715,0.0,0.0039003900390039005,2,14,1,1,0,0,0,0,0,0,0
overweight,female,vegetarian,more frequently,coal,walk/bicycle,,never,0.16465863453815263,very frequently,0.005000500050005001,extra large,1,13,0.58,24,No,2566,37,0.7446586345381526,1.0,1.005000500050005,4,4,1,0,1,0,1,1,1,1,1
overweight,female,vegan,twice a day,wood,private,electric,sometimes,0.967871485943775,very frequently,0.8707870787078709,medium,3,2,0.46,23,Sometimes,2439,25,1.427871485943775,1.0,1.8707870787078709,2,6,1,1,1,0,1,1,0,0,1
obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,0.08032128514056228,very frequently,0.0167016701670167,small,2,9,0.14,20,Yes,2056,29,0.2203212851405623,1.0,1.0167016701670166,1,2,0,1,1,0,1,0,0,0,1
overweight,female,pescatarian,more frequently,natural gas,public,,often,0.15662650602409636,very frequently,0.0631063106310631,medium,7,2,0.0,18,Sometimes,2299,20,0.15662650602409636,1.0,1.0631063106310632,2,14,1,1,1,1,0,1,1,1,0
overweight,male,vegan,twice a day,electricity,public,,never,0.285140562248996,rarely,0.019401940194019404,large,6,15,0.32,18,Sometimes,1492,33,0.605140562248996,0.3333333333333333,0.35273527352735273,3,18,0,1,1,0,0,0,1,1,1
underweight,female,omnivore,daily,coal,walk/bicycle,,often,0.5943775100401606,rarely,0.004600460046004601,medium,1,12,0.9,17,No,1692,29,1.4943775100401606,0.3333333333333333,0.33793379337933793,2,2,1,1,0,1,1,1,0,0,0
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,0.7389558232931727,frequently,0.0037003700370037006,extra large,3,15,0.58,3,Yes,2581,18,1.3189558232931726,0.6666666666666666,0.6703670367036704,4,12,0,0,0,1,0,1,1,1,0
overweight,male,vegetarian,less frequently,wood,walk/bicycle,,sometimes,0.13654618473895583,rarely,0.0031003100310031005,large,2,0,0.02,1,Sometimes,950,1,0.15654618473895582,0.3333333333333333,0.3364336433643364,3,6,1,0,1,0,0,0,1,1,0
normal,male,vegan,twice a day,coal,private,lpg,often,0.5301204819277109,never,0.28802880288028804,small,5,10,0.18,1,Sometimes,1923,11,0.7101204819277109,0.0,0.28802880288028804,1,5,1,1,0,1,1,1,1,1,0
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,0.9036144578313253,never,0.0006000600060006001,extra large,2,19,0.98,19,Yes,1751,38,1.8836144578313254,0.0,0.0006000600060006001,4,8,0,0,0,1,0,0,0,0,1
underweight,female,pescatarian,more frequently,coal,walk/bicycle,,sometimes,0.714859437751004,very frequently,0.004000400040004,small,6,1,0.7000000000000001,7,Sometimes,2562,8,1.4148594377510042,1.0,1.004000400040004,1,6,1,0,0,0,0,1,0,0,1
overweight,male,vegan,more frequently,wood,walk/bicycle,,never,0.3614457831325302,frequently,0.00010001000100010001,large,6,9,0.48,24,No,2456,33,0.8414457831325302,0.6666666666666666,0.6667666766676668,3,18,0,1,0,1,1,1,1,1,0
overweight,female,vegetarian,more frequently,electricity,public,,sometimes,0.7309236947791165,never,0.1341134113411341,extra large,1,22,0.16,1,Sometimes,657,23,0.8909236947791165,0.0,0.1341134113411341,4,4,1,1,1,0,1,0,0,0,1
normal,female,pescatarian,twice a day,electricity,public,,often,0.26104417670682734,very frequently,0.0393039303930393,small,3,21,0.26,9,No,1758,30,0.5210441767068273,1.0,1.0393039303930394,1,3,0,0,1,1,0,1,0,0,1
obese,female,vegan,daily,natural gas,public,,never,0.42971887550200805,frequently,0.019101910191019103,medium,4,2,0.88,12,Sometimes,2184,14,1.309718875502008,0.6666666666666666,0.6857685768576858,2,8,1,1,0,0,0,1,0,0,0
obese,female,pescatarian,twice a day,coal,public,,sometimes,0.4257028112449799,very frequently,0.013101310131013101,extra large,1,14,0.4,23,No,3009,37,0.8257028112449799,1.0,1.0131013101310131,4,4,1,0,0,1,1,1,1,1,1
underweight,male,omnivore,daily,wood,private,diesel,often,0.8112449799196787,very frequently,0.1419141914191419,large,5,8,0.86,20,Yes,3748,28,1.6712449799196787,1.0,1.141914191419142,3,15,1,1,0,0,1,0,1,1,0
normal,female,vegan,daily,electricity,private,electric,never,0.44979919678714864,rarely,0.915991599159916,small,7,2,0.52,16,No,1122,18,0.9697991967871487,0.3333333333333333,1.2493249324932494,1,7,0,0,0,0,0,1,0,0,0
obese,male,vegetarian,daily,wood,private,hybrid,never,0.38152610441767065,never,0.8016801680168018,small,3,21,0.28,16,No,2810,37,0.6615261044176707,0.0,0.8016801680168018,1,3,0,1,1,0,1,1,0,0,0
overweight,female,omnivore,daily,electricity,walk/bicycle,,never,0.6586345381526104,never,0.008700870087008702,medium,3,24,0.64,23,No,1346,47,1.2986345381526103,0.0,0.008700870087008702,2,6,0,1,0,0,0,1,0,0,0
