Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Glass,Metal,Paper,Plastic,Airfryer,Grill,Microwave,Oven,Stove,WasteScore
overweight,male,vegan,daily,coal,private,diesel,sometimes,62,very frequently,5737,medium,1,5,20,20,Yes,4284,0,1,1,0,1,1,0,0,0,2
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,94,rarely,88,medium,6,17,0,3,Sometimes,807,0,1,1,1,1,1,1,1,1,12
underweight,female,vegan,daily,electricity,public,,often,259,frequently,558,large,4,4,50,23,Sometimes,1991,0,1,0,0,1,1,0,1,0,12
obese,male,vegetarian,less frequently,electricity,public,,sometimes,67,rarely,752,large,3,14,37,14,Sometimes,1817,0,0,0,1,0,0,0,0,1,9
obese,male,pescatarian,daily,wood,walk/bicycle,,never,130,rarely,71,small,2,10,15,10,No,1490,1,0,0,0,1,1,0,1,0,2
underweight,female,omnivore,less frequently,electricity,public,,never,258,frequently,1028,small,2,13,44,4,Yes,1561,1,1,0,0,1,1,1,1,0,2
obese,female,vegan,more frequently,wood,public,,sometimes,189,frequently,1527,medium,4,23,34,10,Yes,2202,1,1,0,0,1,1,1,0,0,8
underweight,female,vegetarian,daily,coal,walk/bicycle,,sometimes,262,frequently,88,large,5,24,8,15,Sometimes,2024,0,0,0,0,1,1,1,0,0,15
normal,female,pescatarian,daily,natural gas,walk/bicycle,,never,157,frequently,73,medium,4,1,42,22,No,1659,1,1,1,0,1,1,1,1,1,8
normal,female,pescatarian,daily,wood,private,lpg,often,280,very frequently,8320,small,5,9,0,4,Sometimes,3911,0,1,1,0,1,1,0,1,1,5
normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,121,never,72,medium,6,11,4,10,Yes,1204,1,1,0,0,1,1,1,0,1,12
underweight,female,vegan,less frequently,coal,walk/bicycle,,often,174,very frequently,9,large,2,1,40,15,Yes,2431,1,0,1,1,0,0,1,0,1,6
obese,male,vegetarian,daily,electricity,walk/bicycle,,sometimes,173,frequently,60,medium,2,16,14,20,Sometimes,1640,1,0,0,1,0,0,0,0,0,4
underweight,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,199,frequently,13,medium,5,17,6,15,No,1648,1,1,1,0,1,1,1,1,1,10
underweight,male,omnivore,less frequently,wood,walk/bicycle,,never,94,rarely,32,small,6,15,5,17,Sometimes,1002,1,1,0,0,1,1,1,0,0,6
underweight,female,pescatarian,less frequently,coal,walk/bicycle,,never,64,frequently,49,small,1,19,47,16,Yes,1771,1,0,0,1,1,1,1,1,1,1
overweight,female,omnivore,twice a day,electricity,public,,never,100,very frequently,1351,extra large,1,20,24,5,Yes,2028,1,0,1,1,1,1,1,0,1,4
normal,female,vegetarian,more frequently,coal,public,,often,240,very frequently,1726,medium,2,15,19,5,No,2540,1,1,0,0,0,0,0,1,1,4
underweight,female,omnivore,daily,electricity,public,,sometimes,245,never,1021,medium,7,14,48,10,No,1386,1,1,1,0,1,1,0,1,1,14
normal,female,pescatarian,daily,coal,walk/bicycle,,sometimes,270,rarely,62,small,5,22,21,11,Sometimes,1679,0,0,0,1,1,1,1,1,1,5
overweight,male,omnivore,daily,wood,private,electric,often,294,very frequently,9488,small,5,16,20,18,Yes,3141,1,0,0,0,0,0,0,0,0,5
normal,male,vegetarian,more frequently,wood,public,,never,87,very frequently,1037,large,4,0,11,24,No,2627,0,0,1,1,1,1,1,1,1,12
underweight,male,pescatarian,less frequently,wood,private,electric,never,209,never,9555,large,2,13,43,3,Yes,1188,1,1,1,0,1,1,1,1,0,6
underweight,male,pescatarian,twice a day,electricity,private,diesel,never,124,never,9031,extra large,5,1,11,5,Yes,3174,1,0,0,1,1,1,0,0,1,20
overweight,female,vegetarian,more frequently,natural gas,public,,sometimes,276,frequently,1461,large,7,19,5,12,Sometimes,2327,0,1,0,0,1,1,1,1,1,21
overweight,female,vegan,daily,wood,walk/bicycle,,never,90,very frequently,39,medium,3,22,7,9,Yes,1822,0,1,1,1,0,0,1,1,1,6
obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,136,never,5033,medium,6,0,43,24,No,2665,0,1,1,1,0,0,0,1,1,12
underweight,male,vegan,daily,electricity,public,,sometimes,246,frequently,1065,extra large,4,22,43,7,Yes,2129,0,1,0,1,1,1,1,1,1,16
normal,male,pescatarian,less frequently,wood,public,,often,94,rarely,927,medium,5,18,10,21,Yes,1425,1,0,1,0,0,0,0,1,0,10
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,253,frequently,2277,large,1,0,11,20,Sometimes,1690,1,1,1,0,0,0,0,0,1,3
obese,female,omnivore,more frequently,natural gas,walk/bicycle,,never,200,rarely,97,medium,7,13,18,0,Sometimes,1717,0,1,0,0,0,0,1,0,1,14
normal,male,vegan,less frequently,coal,private,lpg,sometimes,281,frequently,7272,large,2,4,38,5,No,4060,1,0,1,0,1,1,1,0,0,6
obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,82,rarely,5260,extra large,3,14,18,17,No,3262,1,0,0,1,1,1,0,1,1,12
overweight,female,pescatarian,more frequently,coal,public,,often,73,rarely,1750,extra large,1,9,30,12,Yes,1674,1,0,1,0,1,1,1,1,1,4
obese,male,vegetarian,daily,natural gas,private,hybrid,often,246,frequently,2998,small,4,0,36,3,Sometimes,3135,0,1,0,0,0,0,1,1,1,4
underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,98,rarely,9147,extra large,5,1,49,20,Yes,4465,1,0,0,1,1,1,1,0,1,20
overweight,male,pescatarian,twice a day,electricity,public,,never,256,rarely,1947,extra large,3,23,33,8,Sometimes,1984,0,0,0,0,0,0,0,0,1,12
overweight,female,vegetarian,less frequently,electricity,private,lpg,often,287,very frequently,4885,large,1,21,21,3,Yes,3246,0,1,0,1,1,1,1,0,1,3
obese,female,omnivore,daily,electricity,walk/bicycle,,never,63,frequently,20,large,4,1,6,14,No,1351,1,1,1,1,1,1,1,1,1,12
obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,158,never,23,extra large,1,24,33,2,No,1929,1,0,0,0,0,0,0,0,1,4
obese,male,omnivore,twice a day,electricity,walk/bicycle,,often,241,frequently,34,large,5,24,15,10,Yes,2719,0,0,0,0,1,1,1,1,0,15
obese,female,vegetarian,twice a day,coal,walk/bicycle,,never,176,frequently,59,large,1,11,41,19,Yes,2336,0,0,1,0,0,0,0,1,1,3
normal,female,vegetarian,less frequently,wood,public,,often,189,never,682,small,6,0,35,3,Sometimes,1270,1,0,0,0,1,1,1,0,1,6
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,214,never,10,large,6,20,12,24,Yes,1803,1,0,0,0,0,0,1,0,1,18
normal,female,vegan,daily,electricity,walk/bicycle,,sometimes,264,very frequently,10,medium,1,7,22,17,Sometimes,1816,1,0,1,0,1,1,1,1,0,2
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,213,never,7964,small,1,16,43,9,No,4638,0,0,1,1,0,0,0,1,1,1
underweight,female,omnivore,twice a day,coal,private,hybrid,often,281,rarely,3606,small,3,16,8,22,Sometimes,1909,0,1,0,1,0,0,0,0,1,3
normal,male,vegan,less frequently,natural gas,public,,sometimes,280,frequently,536,large,2,2,30,1,Yes,2021,0,0,0,1,0,0,0,1,0,6
normal,male,omnivore,more frequently,natural gas,public,,never,125,rarely,1564,large,5,4,15,23,No,1896,0,1,0,0,0,0,1,1,0,15
obese,male,vegan,daily,electricity,walk/bicycle,,never,188,frequently,78,small,4,11,21,3,No,1770,0,0,1,0,1,1,0,1,0,4
normal,female,omnivore,daily,wood,walk/bicycle,,often,251,never,98,small,1,12,47,3,No,1323,0,1,1,1,0,0,1,0,1,1
normal,female,pescatarian,daily,wood,public,,never,285,very frequently,1820,small,1,21,24,9,Yes,2269,0,0,0,1,1,1,0,0,0,1
obese,male,vegan,more frequently,wood,public,,never,234,never,243,extra large,4,20,36,5,Yes,1918,1,1,0,1,1,1,0,1,1,16
overweight,female,vegan,daily,natural gas,public,,sometimes,91,very frequently,1586,small,7,8,43,2,Yes,2477,0,1,1,1,0,0,1,1,1,7
normal,female,omnivore,daily,natural gas,walk/bicycle,,never,118,frequently,11,large,3,6,10,16,No,1444,0,0,1,0,0,0,0,1,1,9
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,never,75,never,72,small,5,15,42,16,Sometimes,1254,1,0,1,1,1,1,0,0,1,5
overweight,male,vegetarian,more frequently,electricity,public,,never,134,never,1157,small,5,19,35,10,No,1411,1,0,0,0,1,1,0,1,0,5
underweight,male,pescatarian,daily,wood,public,,often,282,never,1380,extra large,4,7,11,8,No,1605,1,0,0,1,1,1,0,0,0,16
obese,male,vegetarian,less frequently,electricity,private,lpg,often,110,never,5765,medium,5,7,2,18,No,3054,0,0,1,0,0,0,0,1,1,10
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,202,very frequently,92,extra large,6,9,16,14,Yes,2902,0,0,0,0,1,1,0,0,0,24
overweight,male,pescatarian,less frequently,electricity,private,lpg,never,56,frequently,7797,large,7,22,8,15,Yes,4301,1,0,0,1,0,0,0,1,1,21
normal,female,vegan,twice a day,electricity,walk/bicycle,,often,223,very frequently,50,small,3,12,35,22,Yes,2308,0,0,0,1,1,1,1,1,0,3
normal,female,vegetarian,more frequently,wood,private,petrol,often,202,frequently,7629,medium,1,17,37,2,No,4132,1,1,0,1,1,1,0,0,0,2
overweight,male,vegetarian,daily,wood,private,petrol,sometimes,114,frequently,2367,medium,3,1,41,23,No,2993,1,1,1,0,0,0,0,1,1,6
overweight,female,omnivore,daily,wood,private,petrol,often,141,frequently,3960,medium,1,7,21,1,Yes,3098,0,0,1,1,0,0,0,0,0,2
overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,236,rarely,42,extra large,2,19,15,10,Yes,1364,0,1,0,1,0,0,0,0,0,8
normal,female,omnivore,daily,coal,private,lpg,sometimes,95,rarely,6455,large,1,15,31,14,Yes,2941,1,0,1,1,1,1,1,0,1,3
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,never,249,frequently,41,large,4,6,2,4,Sometimes,1349,0,0,1,0,0,0,1,0,0,12
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,often,213,never,71,medium,1,24,17,16,Yes,1038,1,0,0,1,0,0,1,0,0,2
obese,male,vegetarian,twice a day,wood,walk/bicycle,,never,81,never,39,medium,7,16,31,15,No,1815,1,0,0,1,0,0,0,0,0,14
overweight,female,vegetarian,more frequently,coal,walk/bicycle,,never,91,very frequently,50,extra large,1,13,29,24,No,2566,1,1,0,0,1,1,1,1,1,4
overweight,female,vegan,twice a day,wood,private,electric,sometimes,291,very frequently,8707,medium,3,2,23,23,Sometimes,2439,1,1,0,1,0,0,1,1,1,6
obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,70,very frequently,167,small,2,9,7,20,Yes,2056,0,1,0,1,0,0,0,1,1,2
overweight,female,pescatarian,more frequently,natural gas,public,,often,89,very frequently,631,medium,7,2,0,18,Sometimes,2299,1,1,1,1,1,1,1,0,0,14
overweight,male,vegan,twice a day,electricity,public,,never,121,rarely,194,large,6,15,16,18,Sometimes,1492,0,1,0,1,1,1,0,0,1,18
underweight,female,omnivore,daily,coal,walk/bicycle,,often,198,rarely,46,medium,1,12,45,17,No,1692,1,0,1,1,0,0,1,1,0,2
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,234,frequently,37,extra large,3,15,29,3,Yes,2581,0,0,1,0,1,1,1,0,0,12
overweight,male,vegetarian,less frequently,wood,walk/bicycle,,sometimes,84,rarely,31,large,2,0,1,1,Sometimes,950,1,1,0,0,1,1,0,0,0,6
normal,male,vegan,twice a day,coal,private,lpg,often,182,never,2880,small,5,10,9,1,Sometimes,1923,1,0,1,1,1,1,1,1,0,5
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,275,never,6,extra large,2,19,49,19,Yes,1751,0,0,1,0,0,0,0,0,1,8
underweight,female,pescatarian,more frequently,coal,walk/bicycle,,sometimes,228,very frequently,40,small,6,1,35,7,Sometimes,2562,1,0,0,0,0,0,1,0,1,6
overweight,male,vegan,more frequently,wood,walk/bicycle,,never,140,frequently,1,large,6,9,24,24,No,2456,0,0,1,1,1,1,1,1,0,18
overweight,female,vegetarian,more frequently,electricity,public,,sometimes,232,never,1341,extra large,1,22,8,1,Sometimes,657,1,1,0,1,0,0,0,1,1,4
normal,female,pescatarian,twice a day,electricity,public,,often,115,very frequently,393,small,3,21,13,9,No,1758,0,1,1,0,0,0,1,0,1,3
obese,female,vegan,daily,natural gas,public,,never,157,frequently,191,medium,4,2,44,12,Sometimes,2184,1,0,0,1,0,0,1,0,0,8
obese,female,pescatarian,twice a day,coal,public,,sometimes,156,very frequently,131,extra large,1,14,20,23,No,3009,1,0,1,0,1,1,1,1,1,4
underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,1419,large,5,8,43,20,Yes,3748,1,0,0,1,1,1,0,1,0,15
normal,female,vegan,daily,electricity,private,electric,never,162,rarely,9159,small,7,2,26,16,No,1122,0,0,0,0,0,0,1,0,0,7
obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8016,small,3,21,14,16,No,2810,0,1,0,1,0,0,1,1,0,3
overweight,female,omnivore,daily,electricity,walk/bicycle,,never,214,never,87,medium,3,24,32,23,No,1346,0,0,0,1,0,0,1,0,0,6
underweight,female,vegan,twice a day,natural gas,walk/bicycle,,never,126,rarely,3,small,5,15,3,12,Yes,671,0,1,1,1,0,0,0,1,1,5
underweight,female,omnivore,twice a day,wood,walk/bicycle,,often,91,frequently,13,extra large,1,19,44,16,Yes,1695,1,0,1,0,0,0,1,0,0,4
normal,female,omnivore,more frequently,electricity,walk/bicycle,,never,205,never,74,large,3,6,2,19,No,810,0,1,0,1,0,0,1,1,0,9
underweight,female,pescatarian,twice a day,wood,private,hybrid,never,285,frequently,7743,extra large,3,1,33,4,Yes,2768,0,0,1,0,1,1,0,1,1,12
underweight,female,vegan,more frequently,natural gas,public,,never,178,never,993,large,7,11,2,13,Sometimes,1033,1,0,1,1,0,0,1,0,0,21
obese,female,omnivore,twice a day,coal,public,,sometimes,236,rarely,1997,large,4,6,17,6,No,2046,1,0,1,1,1,1,0,1,0,12
obese,female,omnivore,more frequently,coal,private,electric,never,286,rarely,2721,small,6,23,30,22,No,2171,1,1,0,0,1,1,1,1,1,6
normal,female,vegetarian,daily,coal,walk/bicycle,,often,108,rarely,5,medium,7,21,0,4,Yes,1312,0,0,1,1,0,0,1,1,1,14
obese,male,vegan,twice a day,wood,public,,sometimes,76,rarely,941,large,1,24,3,18,No,1209,0,1,0,1,0,0,0,1,1,3
underweight,male,vegan,more frequently,coal,private,diesel,sometimes,270,frequently,8815,small,2,7,37,9,Sometimes,4017,0,1,0,0,0,0,1,0,0,2
normal,female,pescatarian,more frequently,wood,private,electric,often,146,rarely,3276,extra large,1,13,10,10,No,877,1,1,1,1,0,0,1,0,1,4
obese,male,vegan,twice a day,electricity,private,hybrid,sometimes,221,never,3309,medium,5,8,16,20,Yes,1856,0,0,1,0,0,0,1,0,0,10
obese,male,pescatarian,more frequently,wood,private,hybrid,often,230,never,2623,medium,2,20,31,12,No,2197,1,1,0,0,0,0,1,0,0,4
obese,female,omnivore,twice a day,electricity,private,diesel,often,295,very frequently,7915,large,1,15,10,18,Sometimes,4281,0,0,1,1,0,0,0,1,1,3
underweight,male,vegan,less frequently,electricity,private,lpg,sometimes,177,frequently,8897,small,3,17,3,24,Yes,3480,1,0,0,0,1,1,0,1,0,3
underweight,female,vegetarian,twice a day,natural gas,walk/bicycle,,often,189,never,19,medium,1,22,36,7,Sometimes,953,1,1,1,0,0,0,1,1,1,2
underweight,male,omnivore,daily,natural gas,private,electric,often,174,frequently,3662,small,2,9,44,21,Yes,2046,0,1,0,1,1,1,1,0,0,2
obese,male,vegan,twice a day,coal,private,petrol,never,193,never,611,large,6,12,37,5,Sometimes,2521,1,1,0,1,1,1,1,1,1,18
overweight,male,omnivore,twice a day,wood,public,,never,238,very frequently,1431,large,6,1,33,3,Yes,3551,0,0,1,0,1,1,0,1,0,18
normal,male,pescatarian,twice a day,wood,public,,sometimes,101,never,1978,medium,3,14,36,11,Yes,1459,0,0,1,1,1,1,0,0,0,6
underweight,male,vegan,daily,electricity,walk/bicycle,,sometimes,99,very frequently,92,extra large,2,8,29,18,No,2492,1,0,0,0,1,1,1,0,1,8
obese,male,omnivore,daily,coal,walk/bicycle,,often,50,frequently,82,large,1,10,23,16,No,2411,1,1,0,0,1,1,1,1,1,3
obese,female,pescatarian,daily,coal,public,,never,71,very frequently,1851,large,7,15,0,20,Yes,2761,1,0,1,1,0,0,0,0,1,21
underweight,female,vegetarian,twice a day,wood,public,,sometimes,232,rarely,1224,extra large,3,7,26,9,Sometimes,1500,0,1,0,1,1,1,1,1,1,12
overweight,male,pescatarian,more frequently,wood,private,electric,sometimes,247,never,8219,extra large,5,18,2,5,Sometimes,1708,1,0,0,0,0,0,0,1,1,20
obese,female,omnivore,less frequently,coal,public,,sometimes,222,never,1390,extra large,4,19,2,7,No,1717,0,1,0,0,1,1,1,0,0,16
overweight,male,vegan,less frequently,wood,public,,sometimes,61,frequently,434,medium,1,23,41,14,No,2135,0,0,1,1,0,0,1,1,1,2
underweight,male,vegan,less frequently,wood,private,hybrid,sometimes,137,never,7460,small,6,5,11,20,Sometimes,2042,0,0,1,1,1,1,0,0,0,6
normal,female,vegan,more frequently,wood,walk/bicycle,,never,157,rarely,15,small,1,20,50,18,Sometimes,1221,0,1,1,0,1,1,0,0,0,1
underweight,male,vegetarian,less frequently,natural gas,private,diesel,never,174,very frequently,4686,extra large,2,0,47,2,No,3473,1,0,1,1,0,0,1,0,0,8
normal,female,vegetarian,daily,electricity,walk/bicycle,,often,214,never,88,large,5,12,39,21,Sometimes,1378,1,1,0,1,0,0,1,1,0,15
normal,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,214,very frequently,40,extra large,2,21,43,2,Yes,2135,0,1,1,1,1,1,1,0,0,8
normal,male,pescatarian,more frequently,wood,walk/bicycle,,never,66,never,56,small,6,11,49,20,No,1464,1,0,1,0,0,0,0,1,0,6
overweight,female,vegan,less frequently,coal,walk/bicycle,,sometimes,123,very frequently,14,extra large,6,22,2,22,Yes,2816,0,1,0,1,0,0,1,1,1,24
normal,male,vegan,less frequently,wood,public,,sometimes,105,very frequently,108,medium,1,17,19,11,No,2210,0,0,1,1,0,0,0,0,1,2
obese,female,omnivore,less frequently,natural gas,private,electric,often,125,never,5168,small,3,1,40,17,No,1552,0,0,1,1,0,0,0,1,1,3
normal,male,vegan,more frequently,coal,private,petrol,never,280,frequently,672,small,3,24,34,18,No,2406,0,1,1,1,0,0,0,0,1,3
obese,female,vegan,less frequently,natural gas,walk/bicycle,,sometimes,238,very frequently,94,extra large,3,17,21,22,Sometimes,3004,0,1,0,0,1,1,1,1,1,12
obese,female,vegetarian,daily,wood,private,petrol,sometimes,270,rarely,3114,large,3,14,5,10,Sometimes,2540,0,0,1,0,1,1,1,1,1,9
normal,female,vegetarian,twice a day,natural gas,private,lpg,never,80,rarely,7134,extra large,2,5,8,5,Yes,2424,0,1,1,1,0,0,1,1,0,8
overweight,female,vegan,more frequently,coal,private,diesel,sometimes,276,rarely,8609,extra large,6,6,14,20,Yes,4000,0,0,1,1,0,0,0,1,0,24
normal,female,omnivore,less frequently,natural gas,public,,often,210,never,852,extra large,1,16,32,10,No,1288,0,1,1,0,0,0,1,1,1,4
obese,male,vegetarian,less frequently,natural gas,public,,never,270,rarely,1673,medium,6,16,50,14,Yes,2317,1,1,1,0,1,1,0,1,0,12
normal,female,vegetarian,more frequently,coal,public,,often,152,very frequently,1564,large,7,9,17,15,Yes,2730,1,1,0,1,0,0,0,0,0,21
normal,female,vegan,more frequently,wood,walk/bicycle,,often,247,rarely,74,small,7,3,17,22,Yes,1371,1,0,0,0,0,0,0,0,1,7
normal,female,omnivore,daily,natural gas,private,petrol,sometimes,145,rarely,2885,small,4,3,33,21,Sometimes,2349,1,0,0,1,1,1,0,0,1,4
normal,male,vegan,twice a day,natural gas,private,petrol,never,260,rarely,8130,large,7,7,27,0,Sometimes,4536,0,1,0,1,0,0,0,1,0,21
overweight,female,vegetarian,twice a day,wood,public,,often,283,very frequently,228,extra large,3,2,40,17,No,2987,1,1,0,1,0,0,1,1,1,12
normal,female,vegetarian,more frequently,wood,public,,sometimes,277,never,1162,medium,4,1,20,7,Sometimes,1039,0,1,1,0,0,0,1,1,0,8
normal,male,pescatarian,less frequently,wood,public,,never,203,never,71,medium,2,10,24,12,No,1036,1,0,1,1,0,0,1,1,0,4
obese,female,omnivore,twice a day,natural gas,private,diesel,never,213,frequently,6337,extra large,4,13,1,0,Sometimes,3620,0,0,0,0,1,1,1,0,0,16
normal,male,vegan,more frequently,natural gas,public,,never,135,rarely,1649,small,4,8,21,2,Sometimes,1009,0,1,1,1,0,0,1,0,1,4
underweight,female,omnivore,daily,natural gas,private,diesel,often,96,very frequently,6159,small,2,6,5,19,Yes,2895,1,1,0,1,1,1,1,1,1,2
overweight,male,omnivore,more frequently,electricity,private,diesel,sometimes,162,never,9884,extra large,1,21,32,21,Yes,4294,0,0,0,1,1,1,1,1,0,4
normal,male,vegan,more frequently,wood,private,hybrid,sometimes,233,frequently,4060,extra large,7,13,46,7,No,3429,1,1,0,0,0,0,1,1,0,28
underweight,female,omnivore,daily,natural gas,walk/bicycle,,sometimes,262,rarely,68,medium,7,11,13,9,Yes,1334,1,0,1,0,1,1,0,0,0,14
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,never,176,very frequently,5,large,7,13,34,16,No,3697,1,0,0,0,1,1,0,0,0,21
normal,female,pescatarian,twice a day,natural gas,public,,often,176,rarely,702,small,4,7,31,18,Sometimes,1494,0,1,0,0,0,0,1,1,0,4
underweight,male,vegan,less frequently,coal,walk/bicycle,,sometimes,147,very frequently,2,extra large,4,1,14,17,No,2779,0,1,0,1,0,0,1,0,1,16
overweight,female,omnivore,less frequently,coal,walk/bicycle,,often,83,rarely,42,small,1,7,0,1,No,993,1,1,0,1,0,0,1,1,0,1
normal,female,omnivore,less frequently,coal,public,,never,205,never,274,extra large,5,20,32,0,Sometimes,1944,0,0,0,1,1,1,0,1,1,20
normal,female,omnivore,less frequently,coal,public,,often,125,frequently,590,small,3,1,3,1,No,1474,0,1,0,1,1,1,0,0,1,3
overweight,male,vegetarian,twice a day,natural gas,private,diesel,often,145,frequently,84,small,1,1,5,22,Yes,1880,0,0,0,0,0,0,1,1,0,1
normal,female,pescatarian,less frequently,coal,private,diesel,often,236,frequently,6908,large,3,15,8,17,Yes,3535,0,0,0,0,1,1,0,0,0,9
underweight,female,omnivore,daily,wood,walk/bicycle,,often,101,rarely,52,medium,7,17,45,17,Sometimes,1644,1,0,1,1,0,0,1,1,1,14
obese,female,vegetarian,more frequently,natural gas,private,lpg,never,77,frequently,121,extra large,2,2,0,3,Sometimes,1268,1,1,1,0,1,1,1,1,0,8
obese,male,omnivore,less frequently,natural gas,walk/bicycle,,never,241,rarely,30,small,7,19,14,19,Sometimes,1529,0,1,1,0,0,0,0,0,0,7
obese,male,vegan,twice a day,electricity,public,,never,124,rarely,1336,extra large,4,10,34,20,Yes,2076,1,0,0,0,0,0,0,0,1,16
obese,male,omnivore,less frequently,electricity,walk/bicycle,,often,82,never,89,large,4,5,49,10,Sometimes,1850,1,0,0,0,0,0,0,0,0,12
normal,male,pescatarian,less frequently,natural gas,public,,never,262,never,1412,small,6,10,7,19,Sometimes,1000,0,1,1,1,0,0,0,0,0,6
